#label	feature	median difference	p-value
0	MIR_hsa-mir-200a	-1452.0544135	6.5890705054414516e-15
0	MIR_hsa-mir-378a	-669.0105225000001	3.3916305869167065e-13
0	MIR_hsa-mir-215	-669.3587725	3.7966343210003656e-13
0	RNA_B3GNT5	-412.9982000000001	7.230517067997924e-13
0	MIR_hsa-mir-4746	-2.3262624999999995	1.0810925702200256e-12
0	METH_SYN1	-0.21383341352071256	1.424238769771029e-12
0	METH_USP51	-0.450571727248242	1.4439513172026883e-12
0	METH_CITED1	-0.14305842256712437	1.5047089691800814e-12
0	METH_LONRF3	-0.3696748094011892	1.9255722872876593e-12
0	METH_SMIM10L2A	-0.4120284923718416	2.495018391381537e-12
0	METH_SNX12	-0.343088361415001	3.317275836486344e-12
0	METH_HCCS	-0.1424405825078895	4.286669864262987e-12
0	METH_ZC4H2	-0.314301810643892	4.8379844821001485e-12
0	METH_TSPYL2	-0.31464212939836006	5.68236211022675e-12
0	MIR_hsa-mir-200c	-6148.985548000001	5.994701727643567e-12
0	METH_SPIN3	-0.27521151316909465	6.760271863632239e-12
0	METH_GPBAR1	-0.05708765355968748	1.2276348211800496e-11
0	METH_VBP1	-0.2016523805664725	1.277119707853071e-11
0	METH_PDHA1	-0.42982077220507964	2.100964301763755e-11
0	METH_SUV39H1	-0.2386196890448105	2.2133263717900672e-11
0	METH_PIN4	-0.20540783869025303	2.4242805397779556e-11
0	METH_UBQLN2	-0.26077137249197146	2.7423303311948454e-11
0	METH_RRAGB	-0.361877589026977	2.983114872553332e-11
0	RNA_C4orf19	-244.76299999999992	4.0649904198475066e-11
0	MIR_hsa-mir-1266	-11.337640999999998	4.3345640945722704e-11
0	MIR_hsa-mir-625	-344.62767499999995	5.252567171651238e-11
0	METH_LOC158572	-0.23978443334850302	5.6708068976267265e-11
0	METH_USP27X	-0.23978443334850302	5.6708068976267265e-11
0	METH_INPP5F	-0.01788477066099653	5.891971637660402e-11
0	METH_RPGR	-0.39684180138996855	6.20002482751664e-11
0	METH_ERCC6L	-0.23177336626959152	6.20002482751664e-11
0	METH_APEX2	-0.21218991963574868	7.040724782155226e-11
0	METH_TSR2	-0.2732236723066949	8.407592996963032e-11
0	METH_FAM122B	-0.15665117747664797	8.6229278999951e-11
0	RNA_BRI3BP	-129.83810000000003	9.069897798708006e-11
0	METH_SHROOM2	-0.2238815261796045	1.1521702182888604e-10
0	METH_DOCK11	-0.12811634174660402	1.3731841385116676e-10
0	METH_WWC3	-0.49280862210064885	1.7622965435015875e-10
0	METH_COX7B	-0.326648935861432	1.7843510945982447e-10
0	METH_PTCHD1	-0.218108334594678	1.9224536216384396e-10
0	METH_SLC25A14	-0.2941959381942896	2.890211289793052e-10
0	MIR_hsa-mir-194-2	-3778.620091499999	3.308119843045144e-10
0	METH_CSTF2	-0.22803852881445075	3.47426452081458e-10
0	METH_FAM122C	-0.12229118788877202	3.560364490957809e-10
0	METH_FAM127B	-0.33581375002734704	3.6934334322829705e-10
0	METH_CMYA5	-0.06960922729989849	3.7388593954750387e-10
0	METH_MIR199A1	-0.05902927125048785	4.072471000721445e-10
0	METH_LOC92249	-0.1894051449572885	4.5443455884777287e-10
0	METH_BCORL1	-0.3119676865752686	4.656237807774715e-10
0	METH_MCTS1	-0.24664066922518996	4.82913453025594e-10
0	METH_RAB33A	-0.26489279857054054	5.131315923860972e-10
0	METH_POPDC2	-0.06610806718038842	5.193929182214587e-10
0	METH_GPC4	-0.3518246950711147	5.451922871018889e-10
0	METH_NKAPP1	-0.383857744060613	5.518350395289687e-10
0	METH_RPL36A	-0.2880574904957243	5.722407004150642e-10
0	METH_PHKA2	-0.3300627939015819	6.005969830860812e-10
0	METH_C1orf204	-0.02965050499062105	6.227593843202061e-10
0	METH_DGKK	-0.15056641191333098	6.614820194494094e-10
0	METH_ZCCHC12	-0.14521355725276736	7.025501259427403e-10
0	METH_PIM2	-0.23215431944720644	7.196647783776153e-10
0	METH_FAM104B	-0.20532546080992703	7.828292017089963e-10
0	METH_KIF4A	-0.26272831209027697	8.513896357659895e-10
0	METH_PDZD11	-0.26272831209027697	8.513896357659895e-10
0	METH_GLA	-0.2616686299118924	8.825342314164977e-10
0	METH_HNRNPH2	-0.2616686299118924	8.825342314164977e-10
0	RNA_SLC37A1	-569.2245500000001	9.147889454328323e-10
0	METH_GNL3L	-0.35565967582282315	9.369277694294997e-10
0	RNA_GALNT7	-823.6061	9.595887730323998e-10
0	METH_RAI2	-0.278795458628447	9.94585643874129e-10
0	METH_PRPS1	-0.08419005008118544	9.94585643874129e-10
0	METH_TSC22D3	-0.24436361737159076	1.0811552356352416e-09
0	METH_PIGA	-0.31011360286957873	1.0941072144139415e-09
0	METH_GAB3	-0.23281392819425462	1.0941072144139415e-09
0	RNA_CASP7	-452.06640000000016	1.1474447883756015e-09
0	METH_PRR23A	-0.04868087012197997	1.1611703290143891e-09
0	METH_UBE2A	-0.39406246379361204	1.2176909318333327e-09
0	METH_MAOA	-0.3554559520424879	1.2322349164530683e-09
0	METH_INTS6L	-0.20108987458502603	1.3231218284456833e-09
0	MIR_hsa-mir-429	-204.9148085	1.354845066438258e-09
